               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026081,            0.015824,           0.0029657,             0.84491,             0.81454,             0.88691,             0.68698,            0.023856,           0.0085057,           0.0032229,            0.008845,            0.008845,            0.008845
                  37,            0.025788,            0.014874,           0.0031268,             0.87672,              0.8314,             0.88984,             0.68704,            0.024176,           0.0080467,           0.0024326,            0.008812,            0.008812,            0.008812
                  38,             0.02591,            0.014888,           0.0030135,             0.88407,              0.8174,              0.8877,             0.69304,            0.023491,           0.0080807,           0.0024462,            0.008779,            0.008779,            0.008779
                  39,             0.02591,            0.016211,           0.0031421,               0.871,             0.81215,             0.87894,             0.67606,            0.023951,           0.0082839,           0.0034366,            0.008746,            0.008746,            0.008746
                  40,            0.025729,            0.016545,            0.003177,             0.84256,             0.82799,             0.88189,             0.67101,            0.023951,            0.008199,            0.002942,            0.008713,            0.008713,            0.008713
                  41,            0.025184,            0.015862,           0.0030213,             0.89136,             0.81211,             0.88116,             0.68143,            0.023751,           0.0082626,           0.0027407,             0.00868,             0.00868,             0.00868
                  42,            0.024984,            0.015898,           0.0028015,             0.87994,             0.81154,              0.8783,             0.68098,            0.024005,           0.0083012,           0.0025344,            0.008647,            0.008647,            0.008647
                  43,            0.025397,            0.016317,           0.0028692,             0.88582,             0.81618,             0.89628,             0.69288,            0.023731,           0.0079022,           0.0032726,            0.008614,            0.008614,            0.008614
                  44,            0.025007,            0.015877,           0.0028075,             0.91005,             0.79186,              0.8892,             0.69531,             0.02356,           0.0082623,           0.0030337,            0.008581,            0.008581,            0.008581
                  45,            0.024838,            0.015396,           0.0029982,             0.85297,             0.84858,             0.88613,             0.69436,            0.023502,           0.0083778,           0.0030973,            0.008548,            0.008548,            0.008548
                  46,            0.024723,            0.015899,           0.0026044,             0.90188,             0.81343,             0.89367,             0.69618,            0.023181,           0.0078531,           0.0028249,            0.008515,            0.008515,            0.008515
                  47,            0.024475,            0.014312,           0.0026282,             0.84522,             0.83561,             0.88765,             0.69732,            0.023229,           0.0080643,           0.0026314,            0.008482,            0.008482,            0.008482
                  48,            0.023949,            0.014352,           0.0024558,             0.84448,             0.82582,             0.88208,             0.69543,            0.023262,           0.0082182,           0.0023428,            0.008449,            0.008449,            0.008449
                  49,            0.024454,            0.015677,           0.0025075,               0.868,             0.82046,             0.88133,             0.69765,            0.023236,           0.0081234,           0.0024769,            0.008416,            0.008416,            0.008416
                  50,             0.02407,            0.014978,           0.0026917,             0.87245,             0.82529,             0.89661,             0.70231,            0.023048,           0.0079866,           0.0023831,            0.008383,            0.008383,            0.008383
                  51,            0.024281,            0.015189,           0.0027974,             0.86631,             0.82959,             0.89519,             0.70364,             0.02328,           0.0079856,           0.0020937,             0.00835,             0.00835,             0.00835
                  52,            0.024284,            0.015514,           0.0026625,             0.86986,             0.84859,             0.90674,             0.71486,             0.02251,           0.0078046,           0.0019311,            0.008317,            0.008317,            0.008317
                  53,            0.023304,             0.01377,           0.0024712,             0.91343,             0.81487,             0.89892,             0.70605,            0.022657,           0.0077504,           0.0023311,            0.008284,            0.008284,            0.008284
                  54,            0.023806,            0.014252,           0.0027343,              0.8913,             0.82168,             0.89325,             0.70331,            0.022807,           0.0080932,           0.0027355,            0.008251,            0.008251,            0.008251
                  55,            0.023784,             0.01608,           0.0024445,             0.89113,              0.8247,             0.89336,               0.708,            0.022852,           0.0080781,           0.0021836,            0.008218,            0.008218,            0.008218
                  56,            0.023252,            0.013747,           0.0024553,              0.8862,             0.84128,             0.89898,             0.71223,            0.022195,           0.0079523,           0.0019091,            0.008185,            0.008185,            0.008185
                  57,            0.023682,            0.014123,           0.0023509,             0.87949,             0.82741,             0.89912,             0.70846,            0.022362,           0.0079243,           0.0022541,            0.008152,            0.008152,            0.008152
                  58,            0.023176,            0.013318,           0.0020457,             0.88882,             0.83591,             0.90639,             0.72144,            0.022138,            0.007744,           0.0021814,            0.008119,            0.008119,            0.008119
                  59,            0.022801,             0.01401,            0.002391,             0.90745,             0.82344,             0.89511,             0.71279,            0.022585,           0.0079443,           0.0022646,            0.008086,            0.008086,            0.008086
                  60,            0.022982,            0.013967,           0.0022632,             0.86612,             0.84089,              0.8979,             0.71096,            0.022448,             0.00791,           0.0025414,            0.008053,            0.008053,            0.008053
                  61,            0.023085,            0.014572,           0.0025547,             0.85826,             0.83337,             0.88752,             0.69849,            0.022901,            0.007964,           0.0029188,             0.00802,             0.00802,             0.00802
                  62,            0.022709,            0.013659,           0.0024131,             0.90525,             0.80669,             0.88319,             0.69728,            0.023228,           0.0082111,           0.0031156,            0.007987,            0.007987,            0.007987
                  63,             0.02279,            0.013406,           0.0024719,             0.89987,             0.80963,             0.89399,             0.70795,            0.022677,           0.0079949,           0.0026556,            0.007954,            0.007954,            0.007954
                  64,            0.022415,            0.014173,           0.0021844,             0.86419,             0.85064,             0.89707,             0.71776,            0.022214,           0.0076521,           0.0021546,            0.007921,            0.007921,            0.007921
                  65,            0.023044,            0.015162,           0.0022754,             0.85977,             0.85763,             0.90485,             0.72272,            0.022388,           0.0077468,            0.002622,            0.007888,            0.007888,            0.007888
                  66,            0.022883,            0.014946,           0.0023651,             0.89474,             0.83654,             0.89339,             0.71283,            0.022699,           0.0077901,           0.0024119,            0.007855,            0.007855,            0.007855
                  67,            0.022709,            0.014291,           0.0021948,              0.8743,             0.84352,             0.89766,             0.70772,            0.022767,           0.0079082,           0.0023938,            0.007822,            0.007822,            0.007822
                  68,            0.022548,            0.013616,            0.002444,             0.87804,             0.83955,             0.89374,             0.71208,            0.022221,           0.0078417,           0.0023392,            0.007789,            0.007789,            0.007789
                  69,            0.022542,               0.014,           0.0021497,              0.8729,             0.84882,             0.89934,             0.72455,            0.021785,           0.0077768,           0.0022153,            0.007756,            0.007756,            0.007756
                  70,            0.022039,            0.014193,           0.0021017,             0.87503,             0.85097,             0.89667,             0.71355,            0.022366,           0.0078424,           0.0023088,            0.007723,            0.007723,            0.007723
                  71,            0.022356,            0.014481,           0.0025181,             0.88596,             0.84261,             0.89831,             0.72276,            0.021799,           0.0077428,           0.0019923,             0.00769,             0.00769,             0.00769
                  72,            0.022213,             0.01409,           0.0021049,             0.89135,             0.83351,               0.888,             0.72017,            0.021473,           0.0078458,           0.0020885,            0.007657,            0.007657,            0.007657
                  73,             0.02171,            0.012293,           0.0020303,             0.89136,             0.83086,             0.89992,             0.72664,             0.02166,           0.0077086,            0.002479,            0.007624,            0.007624,            0.007624
                  74,            0.021903,            0.013464,           0.0018725,             0.88002,             0.85879,             0.89591,             0.71611,            0.021484,           0.0076488,           0.0020455,            0.007591,            0.007591,            0.007591
                  75,            0.021453,            0.013554,           0.0019467,             0.88974,             0.84154,             0.90411,             0.72766,            0.021292,           0.0077305,           0.0020245,            0.007558,            0.007558,            0.007558
                  76,            0.021887,            0.013865,           0.0021786,              0.8805,             0.85107,             0.90137,              0.7299,            0.021697,           0.0077145,           0.0020259,            0.007525,            0.007525,            0.007525
                  77,            0.021507,            0.013876,           0.0020134,             0.86709,             0.85759,             0.90344,             0.73167,            0.021541,           0.0077233,           0.0019839,            0.007492,            0.007492,            0.007492
                  78,            0.021522,            0.013515,           0.0020487,              0.8995,             0.82199,             0.90051,             0.72305,            0.021712,           0.0079376,           0.0017957,            0.007459,            0.007459,            0.007459
                  79,            0.021249,            0.013761,           0.0019666,             0.87514,             0.85241,             0.89368,             0.72086,            0.021553,           0.0076706,           0.0027986,            0.007426,            0.007426,            0.007426
                  80,            0.021207,            0.013884,           0.0019589,             0.87575,             0.86996,             0.90512,              0.7368,            0.021682,           0.0074226,           0.0021836,            0.007393,            0.007393,            0.007393
                  81,            0.021432,            0.013436,             0.00197,             0.90038,             0.85041,             0.91005,             0.73962,             0.02125,           0.0074993,           0.0018969,             0.00736,             0.00736,             0.00736
                  82,            0.021426,            0.014243,           0.0022802,             0.89231,             0.84041,              0.9073,             0.73594,            0.021434,           0.0075127,             0.00169,            0.007327,            0.007327,            0.007327
                  83,            0.021495,            0.013793,           0.0019192,             0.90107,             0.83504,             0.90076,             0.72412,            0.021523,           0.0076179,           0.0017521,            0.007294,            0.007294,            0.007294
                  84,             0.02142,            0.012916,           0.0020251,             0.88296,             0.84392,             0.89761,             0.73189,            0.021577,           0.0077403,           0.0022681,            0.007261,            0.007261,            0.007261
                  85,            0.020925,            0.012805,            0.001614,             0.89442,             0.84117,              0.8974,             0.72575,            0.021665,           0.0076543,           0.0024608,            0.007228,            0.007228,            0.007228
                  86,            0.020907,            0.013699,           0.0017402,             0.87952,             0.85339,             0.90237,             0.73602,            0.021344,           0.0074788,           0.0021434,            0.007195,            0.007195,            0.007195
                  87,            0.020862,            0.012702,           0.0019355,             0.87354,             0.87914,             0.91172,             0.74397,            0.020754,           0.0073055,           0.0016227,            0.007162,            0.007162,            0.007162
