               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05206,            0.072627,            0.025635,             0.59333,             0.48389,             0.52834,             0.33174,               0.049,            0.044023,            0.018847,              0.0937,              0.0007,              0.0007
                   1,            0.051388,            0.068879,            0.027341,             0.58966,             0.51505,             0.55705,             0.35201,            0.048059,            0.043225,            0.017257,            0.086203,            0.001203,            0.001203
                   2,            0.051922,            0.078047,            0.026115,             0.62645,             0.53576,             0.59233,             0.37348,            0.047446,            0.042451,            0.016346,            0.078389,           0.0013892,           0.0013892
                   3,            0.050962,            0.070831,            0.023613,             0.62157,             0.55801,             0.61016,             0.37972,            0.047347,            0.042016,            0.015426,            0.070259,           0.0012586,           0.0012586
                   4,            0.051329,            0.069738,            0.023367,             0.63201,             0.56041,             0.61695,             0.38076,            0.047051,            0.041697,            0.014794,            0.061811,           0.0008112,           0.0008112
