                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.052844,               0.047845,               0.058528,               0.016366,                0.70559,                0.63698,                0.71566,                0.36077,                0.64306,                0.55411,                0.61441,                0.33669,                0.05388,               0.039442,               0.034904,               0.010244,               0.007723,               0.007723,               0.007723
                     25,               0.056021,               0.049642,               0.057669,               0.017507,                0.67938,                0.65478,                  0.704,                 0.3482,                0.58908,                0.56189,                0.59213,                 0.3266,               0.054327,                0.03976,               0.034563,               0.010036,               0.007624,               0.007624,               0.007624
                     26,               0.056906,               0.051494,                0.05886,               0.016105,                0.64846,                0.68869,                0.70612,                 0.3726,                 0.5797,                0.60732,                0.61154,                0.33652,               0.054788,               0.039656,               0.034397,               0.010005,               0.007525,               0.007525,               0.007525
                     27,               0.056681,               0.048219,                0.05619,               0.016527,                 0.6775,                  0.672,                 0.7123,                0.38788,                0.62418,                0.56388,                0.61079,                0.34124,               0.051145,                0.03841,               0.034439,               0.009557,               0.007426,               0.007426,               0.007426
                     28,               0.052749,               0.050683,               0.059679,                0.01824,                0.72737,                0.64461,                0.73147,                0.37391,                0.66831,                0.56505,                0.62319,                0.34235,               0.050734,               0.038769,               0.035141,              0.0094781,               0.007327,               0.007327,               0.007327
                     29,               0.054487,               0.048154,               0.060404,               0.016479,                0.71319,                0.67728,                0.73342,                0.38175,                0.66544,                0.61193,                0.63933,                0.35496,               0.051967,               0.038734,               0.035642,              0.0096521,               0.007228,               0.007228,               0.007228
                     30,                0.05522,               0.050233,               0.058864,               0.015953,                0.75679,                0.66091,                0.72758,                0.34819,                0.68777,                0.56815,                0.61191,                0.34254,               0.053543,               0.038539,               0.034724,              0.0092499,               0.007129,               0.007129,               0.007129
                     31,               0.054661,               0.050463,               0.060107,               0.015683,                0.73972,                0.66576,                0.74168,                0.39292,                0.72376,                0.58384,                0.64723,                0.37016,               0.051195,               0.037199,               0.034185,              0.0087516,                0.00703,                0.00703,                0.00703
                     32,               0.053322,                0.04883,               0.054207,                0.01622,                0.75812,                 0.6896,                  0.785,                0.43131,                0.69582,                0.63242,                0.67375,                0.38984,               0.050026,                0.03673,               0.033485,              0.0083795,               0.006931,               0.006931,               0.006931
                     33,                0.05189,               0.047744,               0.054234,               0.017037,                0.69968,                0.71954,                0.75706,                0.41836,                0.65343,                0.65129,                0.67442,                 0.3839,                0.05093,               0.036571,                0.03356,               0.008132,               0.006832,               0.006832,               0.006832
                     34,               0.051667,               0.046419,               0.046166,               0.015683,                0.71767,                 0.7438,                 0.7898,                0.43583,                0.64083,                0.64669,                0.67342,                 0.3915,               0.048675,               0.036093,               0.032491,              0.0080802,               0.006733,               0.006733,               0.006733
                     35,               0.050543,               0.048602,                0.06118,               0.015583,                0.73559,                0.72746,                0.78432,                0.44055,                0.64199,                0.63363,                0.66893,                0.39377,               0.048489,               0.036336,               0.032756,              0.0076821,               0.006634,               0.006634,               0.006634
                     36,               0.050765,               0.049274,               0.057344,               0.014918,                0.76324,                0.72585,                0.80035,                0.44495,                0.70441,                0.61814,                 0.6729,                0.39452,               0.048539,               0.036108,               0.033214,              0.0075743,               0.006535,               0.006535,               0.006535
                     37,               0.051632,               0.048294,               0.052919,               0.014857,                0.70964,                0.74699,                0.78257,                0.45591,                0.65841,                0.66772,                 0.6888,                0.40855,               0.051067,               0.034911,               0.031258,              0.0073719,               0.006436,               0.006436,               0.006436
                     38,               0.054269,               0.048311,               0.060399,               0.016171,                0.72777,                 0.7546,                0.80708,                0.45797,                0.66633,                0.65417,                0.68223,                0.40412,               0.047088,               0.035351,               0.033146,              0.0072727,               0.006337,               0.006337,               0.006337
                     39,               0.049484,               0.047108,               0.058993,               0.015474,                0.74523,                0.74517,                0.81047,                0.43523,                0.69335,                0.64789,                0.68572,                0.39493,               0.049921,               0.035206,               0.032147,              0.0075262,               0.006238,               0.006238,               0.006238
                     40,               0.052779,               0.047299,               0.058374,               0.013941,                  0.773,                0.75552,                0.80578,                0.46236,                0.67257,                0.65659,                0.68319,                 0.4045,               0.049076,               0.035124,               0.031989,              0.0072846,               0.006139,               0.006139,               0.006139
                     41,               0.053405,               0.047037,               0.052311,               0.014564,                0.73971,                0.75534,                0.80298,                0.46606,                0.68919,                0.66397,                0.69032,                0.40316,               0.050107,               0.034879,               0.031547,              0.0073488,                0.00604,                0.00604,                0.00604
                     42,               0.051291,               0.047433,               0.056552,               0.013987,                0.76086,                0.75728,                0.81944,                0.47144,                0.73243,                0.65058,                0.71271,                0.41804,               0.049582,               0.034352,               0.030921,              0.0070231,               0.005941,               0.005941,               0.005941
                     43,               0.050721,               0.045731,               0.053937,               0.014974,                0.78363,                0.75579,                0.83069,                0.49982,                 0.7773,                0.63668,                0.71001,                0.41678,               0.046154,               0.034191,               0.031322,              0.0070403,               0.005842,               0.005842,               0.005842
                     44,               0.049266,               0.044724,               0.056285,               0.015591,                0.78187,                0.73525,                0.82072,                0.47926,                0.70552,                0.65499,                0.69077,                0.39826,               0.046836,               0.034335,               0.031458,              0.0074487,               0.005743,               0.005743,               0.005743
                     45,               0.048295,               0.044878,               0.054175,               0.014365,                0.76762,                0.75276,                0.83182,                0.49235,                0.73651,                0.64015,                0.69088,                0.40653,               0.046653,                0.03417,               0.031749,              0.0070703,               0.005644,               0.005644,               0.005644
                     46,               0.049019,               0.044541,               0.052701,                0.01351,                0.82819,                0.74068,                0.83627,                0.51912,                0.75209,                0.66688,                0.72257,                0.41752,                 0.0441,               0.034123,                0.03113,              0.0070078,               0.005545,               0.005545,               0.005545
                     47,               0.045964,               0.046177,               0.050178,                0.01578,                0.76585,                0.73419,                0.80471,                0.49648,                0.72437,                0.63303,                0.69611,                0.40403,                0.04668,               0.034551,               0.030962,              0.0069804,               0.005446,               0.005446,               0.005446
                     48,               0.049509,               0.045718,               0.055584,               0.013754,                0.82627,                0.73871,                0.82871,                0.51115,                0.77458,                0.64726,                0.71223,                0.43087,               0.043754,               0.034292,               0.031175,              0.0066538,               0.005347,               0.005347,               0.005347
                     49,               0.049188,               0.045864,               0.061256,               0.013437,                0.77183,                 0.7739,                0.81669,                0.47611,                0.71647,                0.68856,                0.70552,                0.42745,               0.047299,                0.03406,               0.031299,               0.006511,               0.005248,               0.005248,               0.005248
                     50,               0.046895,               0.044943,               0.050813,               0.013665,                 0.7505,                0.77388,                0.83546,                0.50055,                0.73523,                0.66234,                0.70953,                0.43641,               0.044485,                0.03354,               0.030475,              0.0064902,               0.005149,               0.005149,               0.005149
                     51,               0.047799,               0.043615,               0.052007,               0.012832,                0.79829,                0.78541,                0.83513,                0.48222,                0.77503,                0.65703,                0.72686,                0.44811,               0.045752,               0.032738,               0.029424,              0.0063534,                0.00505,                0.00505,                0.00505
                     52,               0.049976,               0.046185,               0.051668,               0.013559,                  0.805,                0.77512,                0.83632,                0.50287,                0.72948,                  0.679,                0.70814,                 0.4316,               0.044635,               0.032724,               0.029231,              0.0062017,               0.004951,               0.004951,               0.004951
                     53,               0.048445,               0.044387,               0.053403,               0.012919,                0.79433,                0.77672,                0.83551,                0.51903,                0.75214,                0.67139,                0.72523,                0.45178,               0.043621,                 0.0325,                0.02963,              0.0060084,               0.004852,               0.004852,               0.004852
                     54,               0.047024,                0.04756,                0.05505,               0.012761,                0.81374,                0.76255,                0.83293,                0.49965,                0.74305,                0.68698,                0.72722,                0.44491,               0.044043,               0.032572,               0.029867,                0.00598,               0.004753,               0.004753,               0.004753
                     55,               0.050773,               0.044843,               0.054316,               0.012058,                0.84405,                0.74208,                0.84394,                0.51551,                 0.7525,                0.64191,                0.70697,                0.42838,                0.04202,               0.032824,               0.030159,              0.0061264,               0.004654,               0.004654,               0.004654
                     56,               0.046516,               0.041503,               0.047986,                0.01352,                0.82424,                0.76772,                0.83728,                 0.5181,                0.74096,                0.70203,                 0.7371,                0.45312,               0.043545,               0.032511,               0.029001,              0.0060294,               0.004555,               0.004555,               0.004555
                     57,               0.047311,               0.045365,               0.056574,               0.012674,                0.82165,                0.75426,                 0.8355,                 0.5134,                0.76643,                0.69763,                0.74988,                0.44863,               0.042092,               0.032428,               0.029006,              0.0058277,               0.004456,               0.004456,               0.004456
                     58,               0.047337,               0.047039,               0.054569,               0.012552,                0.84189,                 0.7619,                0.84587,                0.54214,                 0.7653,                0.69017,                0.73741,                0.46213,               0.041374,               0.032396,               0.029466,              0.0056787,               0.004357,               0.004357,               0.004357
                     59,                0.04649,                0.04593,               0.051702,                0.01328,                0.82037,                0.79085,                0.85282,                0.52169,                0.74796,                0.72106,                0.75862,                0.46397,               0.042156,               0.031796,                0.02875,              0.0056005,               0.004258,               0.004258,               0.004258
                     60,               0.045589,               0.043776,               0.047566,               0.011978,                0.81184,                0.80121,                0.85584,                0.55047,                0.73576,                0.73885,                0.76151,                 0.4821,                0.04171,               0.031454,               0.028079,              0.0055108,               0.004159,               0.004159,               0.004159
                     61,                0.04522,               0.043943,               0.053306,               0.012723,                0.83535,                0.78368,                0.85668,                 0.5659,                0.77926,                0.72835,                0.76102,                0.48124,               0.041293,                0.03115,               0.027945,               0.005394,                0.00406,                0.00406,                0.00406
                     62,               0.045299,               0.046927,               0.054141,               0.012706,                0.88056,                0.77074,                0.85837,                0.57268,                0.81179,                0.70174,                0.75925,                  0.478,               0.040095,                 0.0311,               0.028324,              0.0053306,               0.003961,               0.003961,               0.003961
                     63,               0.045207,               0.044041,                0.04841,               0.012269,                0.85764,                0.77791,                0.86115,                 0.5711,                0.78734,                0.71847,                 0.7615,                0.47677,               0.040601,                0.03125,               0.028035,              0.0053647,               0.003862,               0.003862,               0.003862
                     64,               0.046308,               0.044661,               0.057245,               0.011746,                0.88368,                0.77541,                 0.8621,                0.57519,                0.80012,                0.71113,                0.75876,                0.46821,               0.039637,               0.031262,               0.028185,               0.005285,               0.003763,               0.003763,               0.003763
                     65,               0.042656,               0.043757,               0.052548,                0.01101,                0.82792,                0.79295,                0.86374,                0.56202,                0.75896,                 0.7291,                0.75312,                0.47358,               0.040427,               0.030925,               0.027761,              0.0052338,               0.003664,               0.003664,               0.003664
                     66,               0.042651,               0.043349,               0.050631,               0.011606,                 0.8208,                0.81381,                 0.8743,                0.57477,                 0.7385,                0.74179,                 0.7645,                0.48579,               0.040695,               0.030792,               0.027665,              0.0052156,               0.003565,               0.003565,               0.003565
