               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033702,            0.020493,           0.0051901,             0.77137,             0.75553,             0.81528,             0.58028,            0.029999,            0.010007,           0.0038318,            0.008845,            0.008845,            0.008845
                  37,            0.033192,            0.018835,           0.0050713,             0.78673,             0.73485,             0.80558,             0.55868,            0.030991,           0.0099521,           0.0052204,            0.008812,            0.008812,            0.008812
                  38,            0.033314,            0.019067,           0.0049732,             0.80952,             0.72437,             0.81091,             0.57394,            0.029911,            0.010066,           0.0042264,            0.008779,            0.008779,            0.008779
                  39,            0.033275,             0.02057,           0.0050586,             0.78267,             0.74393,             0.80588,             0.57187,            0.029908,            0.010154,           0.0044814,            0.008746,            0.008746,            0.008746
                  40,            0.033026,            0.021245,           0.0049037,             0.78162,             0.72453,              0.8052,             0.56617,            0.029012,            0.010036,           0.0040235,            0.008713,            0.008713,            0.008713
                  41,            0.032706,            0.020099,           0.0049385,             0.80276,             0.75085,             0.82627,             0.58105,            0.029532,           0.0095849,           0.0041315,             0.00868,             0.00868,             0.00868
                  42,            0.032683,            0.020513,           0.0046628,             0.78301,             0.77428,             0.83486,             0.60922,            0.028637,           0.0097237,           0.0036806,            0.008647,            0.008647,            0.008647
                  43,            0.032728,            0.021194,           0.0049785,             0.79521,             0.74318,             0.81199,             0.57664,            0.029596,           0.0099115,           0.0040171,            0.008614,            0.008614,            0.008614
                  44,            0.032278,            0.020257,           0.0044521,             0.80726,             0.74096,             0.81517,              0.5818,            0.029514,            0.010012,            0.004311,            0.008581,            0.008581,            0.008581
                  45,            0.032175,            0.019962,           0.0047746,             0.79664,             0.73695,             0.81806,             0.57763,            0.029468,            0.010027,           0.0044397,            0.008548,            0.008548,            0.008548
                  46,            0.032096,            0.020199,           0.0045899,             0.81208,             0.75041,             0.82728,             0.59367,            0.029412,           0.0096361,           0.0042737,            0.008515,            0.008515,            0.008515
                  47,            0.032093,            0.018748,           0.0045677,             0.84403,             0.71766,             0.81587,             0.58686,             0.02933,           0.0097584,           0.0046094,            0.008482,            0.008482,            0.008482
                  48,            0.031857,            0.018857,           0.0046168,              0.8014,             0.74471,             0.82536,             0.59387,            0.029037,            0.009531,           0.0042359,            0.008449,            0.008449,            0.008449
                  49,            0.031973,            0.020523,           0.0045963,             0.81839,             0.74516,             0.82948,             0.60303,            0.028565,           0.0096694,           0.0045973,            0.008416,            0.008416,            0.008416
                  50,             0.03171,            0.019068,           0.0043075,             0.81169,             0.76326,             0.83775,             0.60663,            0.028424,           0.0095828,           0.0037657,            0.008383,            0.008383,            0.008383
