               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040382,            0.015778,            0.005238,             0.77731,             0.69665,             0.76884,             0.52143,            0.031388,            0.007604,           0.0039819,             0.00895,             0.00895,             0.00895
                  37,             0.04029,            0.016145,           0.0050522,             0.77609,             0.70155,             0.77277,             0.52746,            0.031119,           0.0075091,           0.0031215,             0.00892,             0.00892,             0.00892
                  38,            0.040536,            0.016438,           0.0052113,             0.78919,             0.68557,             0.78866,             0.55224,             0.03036,           0.0072975,           0.0030206,             0.00889,             0.00889,             0.00889
                  39,            0.039787,            0.015008,           0.0048722,              0.8252,              0.6994,              0.7959,             0.56889,            0.030116,           0.0073835,           0.0030415,             0.00886,             0.00886,             0.00886
                  40,            0.039833,            0.016043,           0.0051523,             0.74971,             0.70284,             0.76894,             0.52263,            0.031565,           0.0074388,           0.0037491,             0.00883,             0.00883,             0.00883
                  41,            0.040536,            0.016546,           0.0054219,             0.73321,             0.71268,             0.76214,               0.529,            0.030854,           0.0073404,           0.0038609,              0.0088,              0.0088,              0.0088
                  42,            0.039852,            0.016136,           0.0051877,             0.76775,              0.7237,             0.78891,             0.54003,            0.030692,           0.0072955,           0.0035186,             0.00877,             0.00877,             0.00877
                  43,            0.039191,            0.015259,           0.0050642,             0.80624,             0.71186,             0.79111,             0.55203,            0.030236,           0.0071448,           0.0036364,             0.00874,             0.00874,             0.00874
                  44,            0.039159,             0.01474,           0.0050048,              0.8216,             0.70975,             0.80084,             0.55201,            0.030317,           0.0072221,           0.0028871,             0.00871,             0.00871,             0.00871
                  45,             0.03926,            0.014708,           0.0049486,             0.84132,             0.67624,             0.78851,             0.55125,            0.030428,            0.007373,           0.0033542,             0.00868,             0.00868,             0.00868
                  46,            0.039153,            0.015391,           0.0047311,             0.81046,             0.69747,             0.79006,             0.54682,            0.030357,            0.007178,           0.0032647,             0.00865,             0.00865,             0.00865
                  47,             0.03964,            0.016228,           0.0050512,             0.79034,             0.72848,              0.7917,             0.54467,            0.030517,            0.007439,           0.0035048,             0.00862,             0.00862,             0.00862
                  48,            0.039101,            0.015061,           0.0050867,              0.7968,              0.7334,             0.80855,             0.56045,            0.030179,           0.0070685,           0.0027407,             0.00859,             0.00859,             0.00859
                  49,            0.039426,             0.01652,           0.0046828,             0.82901,             0.72114,             0.81057,             0.56315,            0.029919,           0.0070487,           0.0030533,             0.00856,             0.00856,             0.00856
                  50,            0.038763,            0.016065,           0.0049149,              0.8256,              0.7324,             0.81852,             0.57537,            0.029791,           0.0069216,           0.0029479,             0.00853,             0.00853,             0.00853
                  51,            0.039331,            0.016109,             0.00482,             0.81368,             0.68627,             0.78959,             0.55146,            0.030633,            0.007202,           0.0028639,              0.0085,              0.0085,              0.0085
                  52,            0.039246,            0.016131,           0.0048806,             0.79725,             0.69535,             0.78874,             0.54984,            0.030109,           0.0074081,           0.0028439,             0.00847,             0.00847,             0.00847
                  53,            0.038341,            0.015207,           0.0047216,             0.81473,             0.73627,              0.8125,             0.57223,            0.029506,           0.0068832,           0.0026687,             0.00844,             0.00844,             0.00844
                  54,            0.038777,             0.01615,           0.0046221,             0.82575,             0.74648,             0.82965,             0.57829,            0.029132,            0.006889,           0.0024464,             0.00841,             0.00841,             0.00841
                  55,            0.038895,            0.016259,           0.0048196,             0.77812,             0.75551,             0.81634,             0.57237,             0.02996,           0.0067746,           0.0030177,             0.00838,             0.00838,             0.00838
                  56,            0.037802,            0.014651,           0.0044145,             0.82112,             0.74472,             0.82748,             0.57343,            0.029539,           0.0069222,           0.0024478,             0.00835,             0.00835,             0.00835
                  57,            0.038149,            0.013991,           0.0045971,             0.80211,             0.75176,             0.82173,             0.57806,             0.02881,           0.0068101,           0.0026526,             0.00832,             0.00832,             0.00832
                  58,            0.038578,            0.015621,           0.0045892,              0.7624,              0.7518,              0.8083,             0.56638,             0.02956,           0.0068885,           0.0028108,             0.00829,             0.00829,             0.00829
                  59,            0.038455,            0.015594,           0.0046809,             0.81172,             0.75843,             0.82737,              0.5812,            0.028986,           0.0068458,            0.002357,             0.00826,             0.00826,             0.00826
                  60,            0.038103,            0.015043,           0.0045423,             0.84265,             0.73285,             0.82252,             0.58037,            0.029518,           0.0068142,           0.0025041,             0.00823,             0.00823,             0.00823
                  61,             0.03796,            0.015264,           0.0045359,             0.82439,             0.75097,             0.82512,             0.58365,             0.02961,           0.0068979,           0.0023819,              0.0082,              0.0082,              0.0082
                  62,            0.038634,            0.015748,           0.0047158,             0.82477,             0.72025,             0.81267,             0.56741,            0.029483,           0.0068857,            0.002892,             0.00817,             0.00817,             0.00817
                  63,            0.037457,            0.014556,           0.0043846,             0.82206,             0.74025,             0.83217,             0.59537,            0.028919,           0.0066804,           0.0023113,             0.00814,             0.00814,             0.00814
                  64,            0.038144,             0.01464,            0.004802,             0.81581,              0.7193,             0.80442,             0.57035,            0.029136,           0.0067707,           0.0026585,             0.00811,             0.00811,             0.00811
                  65,             0.03836,            0.016718,           0.0047344,             0.83996,             0.73499,             0.82984,             0.59393,            0.029323,           0.0067814,            0.002801,             0.00808,             0.00808,             0.00808
                  66,            0.037404,            0.014799,           0.0043265,             0.82541,             0.71043,             0.80082,             0.56491,            0.029707,           0.0070081,           0.0034769,             0.00805,             0.00805,             0.00805
                  67,            0.037263,            0.014594,           0.0044329,             0.82718,             0.71914,             0.81968,             0.58905,            0.029066,           0.0069308,           0.0029916,             0.00802,             0.00802,             0.00802
                  68,            0.037757,              0.0152,           0.0042855,             0.83021,             0.74894,             0.82526,             0.59073,            0.028941,           0.0067819,           0.0027994,             0.00799,             0.00799,             0.00799
                  69,            0.037149,            0.013666,           0.0041704,             0.81346,             0.77811,             0.84056,             0.60037,            0.028723,           0.0065822,           0.0023278,             0.00796,             0.00796,             0.00796
                  70,            0.036438,            0.013619,           0.0043402,             0.83404,             0.75243,             0.83761,             0.59671,            0.028565,           0.0066192,           0.0021918,             0.00793,             0.00793,             0.00793
                  71,            0.037444,            0.015245,           0.0043987,             0.81667,             0.76753,             0.83596,             0.59922,            0.028593,           0.0065998,           0.0023316,              0.0079,              0.0079,              0.0079
                  72,            0.036932,            0.015062,           0.0041642,              0.8195,             0.75418,             0.83068,             0.60318,            0.029024,           0.0066614,           0.0024579,             0.00787,             0.00787,             0.00787
                  73,            0.036757,            0.013171,           0.0042834,             0.80502,             0.76645,             0.82397,             0.59845,            0.028778,              0.0068,            0.003047,             0.00784,             0.00784,             0.00784
                  74,            0.037526,            0.015527,           0.0043354,             0.82182,             0.75792,             0.83047,             0.59455,            0.028359,           0.0066037,           0.0022951,             0.00781,             0.00781,             0.00781
                  75,            0.036846,            0.014125,           0.0040824,             0.84067,             0.75071,             0.83847,             0.61131,             0.02795,           0.0066982,           0.0027965,             0.00778,             0.00778,             0.00778
                  76,            0.037387,            0.015391,           0.0042034,             0.86972,             0.75304,             0.84119,             0.60563,            0.028189,           0.0067516,           0.0022295,             0.00775,             0.00775,             0.00775
                  77,            0.037626,            0.015973,           0.0043611,             0.84777,             0.75377,             0.84528,              0.5953,            0.028724,           0.0066603,           0.0020341,             0.00772,             0.00772,             0.00772
                  78,            0.037891,            0.015666,           0.0041578,             0.83339,             0.76318,             0.84004,              0.6072,             0.02816,           0.0065474,           0.0018871,             0.00769,             0.00769,             0.00769
                  79,            0.036775,             0.01432,           0.0039692,             0.84156,             0.74764,              0.8344,             0.60202,            0.028489,           0.0067165,           0.0022166,             0.00766,             0.00766,             0.00766
                  80,             0.03709,            0.015234,           0.0042118,             0.77196,             0.78473,             0.83168,             0.60287,            0.027804,           0.0067274,           0.0019871,             0.00763,             0.00763,             0.00763
                  81,            0.036568,            0.014849,           0.0040834,             0.81837,             0.75547,             0.83461,              0.5974,            0.028696,           0.0066783,           0.0021057,              0.0076,              0.0076,              0.0076
                  82,            0.036316,            0.014499,           0.0039422,               0.797,             0.77022,             0.83647,             0.60813,            0.028484,           0.0067096,           0.0017866,             0.00757,             0.00757,             0.00757
                  83,            0.036611,            0.014965,            0.004213,             0.82419,             0.75733,             0.83664,             0.60648,            0.027861,           0.0066104,           0.0020237,             0.00754,             0.00754,             0.00754
                  84,            0.036893,            0.014839,           0.0041218,             0.82628,             0.74557,             0.83194,             0.60317,            0.028248,            0.006562,           0.0020907,             0.00751,             0.00751,             0.00751
                  85,            0.036187,            0.015199,           0.0038896,              0.8162,             0.76284,             0.84081,             0.60781,            0.027961,           0.0065232,           0.0018494,             0.00748,             0.00748,             0.00748
                  86,            0.036371,            0.014074,           0.0040695,             0.80348,             0.76804,             0.83658,             0.61602,            0.027716,           0.0066062,           0.0021412,             0.00745,             0.00745,             0.00745
                  87,            0.036938,            0.014522,           0.0040288,             0.86969,              0.7234,             0.83914,             0.61097,            0.027968,           0.0065133,             0.00203,             0.00742,             0.00742,             0.00742
                  88,            0.036116,             0.01447,           0.0040154,              0.8034,             0.76484,             0.83773,             0.60507,            0.028066,           0.0067044,           0.0023758,             0.00739,             0.00739,             0.00739
                  89,            0.035729,              0.0145,            0.003863,             0.81199,             0.79494,             0.85073,             0.62269,            0.027225,           0.0064312,           0.0017836,             0.00736,             0.00736,             0.00736
                  90,             0.03602,            0.015112,            0.003912,             0.84141,              0.7528,             0.83473,              0.6136,            0.027931,           0.0064952,           0.0022122,             0.00733,             0.00733,             0.00733
                  91,            0.036264,            0.015427,           0.0039121,             0.84417,             0.76668,             0.85555,             0.62964,            0.027535,           0.0062707,           0.0017148,              0.0073,              0.0073,              0.0073
