               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033727,            0.020662,           0.0053828,             0.78151,              0.7571,             0.81426,             0.57657,            0.030279,            0.009963,           0.0052597,            0.008845,            0.008845,            0.008845
                  37,            0.033672,            0.020913,            0.004995,             0.78613,             0.73688,             0.80256,             0.54847,            0.030994,           0.0098671,           0.0059819,            0.008812,            0.008812,            0.008812
                  38,            0.033538,            0.020615,           0.0052272,             0.82531,             0.76679,             0.83055,             0.58468,            0.030244,           0.0098585,           0.0040015,            0.008779,            0.008779,            0.008779
                  39,            0.033099,            0.019459,           0.0048602,             0.81242,             0.74932,             0.82591,              0.5822,            0.029595,           0.0096358,            0.004046,            0.008746,            0.008746,            0.008746
                  40,            0.033304,            0.019155,           0.0051157,             0.85092,             0.71473,             0.81964,             0.56981,            0.030262,            0.010068,           0.0049212,            0.008713,            0.008713,            0.008713
                  41,            0.033104,            0.019308,           0.0048249,             0.80348,             0.75235,             0.82873,             0.57888,            0.029412,           0.0097619,           0.0038333,             0.00868,             0.00868,             0.00868
                  42,            0.032882,            0.020206,           0.0046623,             0.83298,             0.73141,             0.83622,             0.59222,            0.029349,           0.0095351,           0.0044653,            0.008647,            0.008647,            0.008647
                  43,            0.033204,            0.020972,           0.0050107,             0.85256,             0.70643,             0.81979,             0.57907,            0.029722,           0.0098494,            0.003795,            0.008614,            0.008614,            0.008614
                  44,            0.033382,            0.020467,            0.005292,              0.8333,             0.72628,             0.82956,             0.58656,            0.029588,           0.0098817,           0.0040953,            0.008581,            0.008581,            0.008581
                  45,            0.032857,             0.02067,            0.004739,             0.81756,             0.75211,             0.82666,             0.58336,            0.028712,           0.0098072,           0.0045569,            0.008548,            0.008548,            0.008548
                  46,            0.032467,             0.01948,           0.0045558,             0.84256,             0.73125,             0.82629,             0.59124,            0.029018,           0.0097024,           0.0038342,            0.008515,            0.008515,            0.008515
                  47,            0.032354,            0.020112,           0.0043511,             0.80701,             0.76933,              0.8338,             0.60146,            0.029247,           0.0096647,            0.004135,            0.008482,            0.008482,            0.008482
                  48,            0.032369,             0.01947,           0.0044438,             0.80893,             0.77513,             0.84054,             0.59472,            0.029346,           0.0095402,           0.0039805,            0.008449,            0.008449,            0.008449
                  49,            0.032111,            0.020548,           0.0043178,             0.86607,             0.74995,             0.84875,              0.6074,            0.028398,           0.0094814,           0.0037752,            0.008416,            0.008416,            0.008416
                  50,            0.032076,            0.019552,           0.0042713,             0.85811,             0.72819,             0.82841,             0.58132,            0.029323,           0.0095816,           0.0042175,            0.008383,            0.008383,            0.008383
                  51,             0.03145,            0.018257,           0.0043107,             0.83625,             0.72994,             0.82698,             0.57625,            0.029358,           0.0095969,           0.0040391,             0.00835,             0.00835,             0.00835
                  52,             0.03156,            0.018991,           0.0041265,             0.81467,             0.78534,             0.84582,             0.60854,            0.028211,           0.0094122,           0.0027273,            0.008317,            0.008317,            0.008317
                  53,            0.031546,            0.019683,           0.0042956,             0.84826,             0.73113,             0.82723,             0.59051,            0.029684,           0.0095986,            0.004602,            0.008284,            0.008284,            0.008284
                  54,            0.031764,            0.019371,           0.0043413,             0.88327,               0.737,             0.84104,             0.60102,            0.028581,           0.0093163,           0.0039711,            0.008251,            0.008251,            0.008251
                  55,            0.031393,            0.018604,           0.0042792,             0.81015,             0.77751,              0.8329,             0.58865,            0.028734,           0.0096283,            0.004006,            0.008218,            0.008218,            0.008218
                  56,            0.031916,            0.020474,           0.0040144,             0.86049,              0.7423,             0.84127,             0.61394,            0.027544,           0.0093114,           0.0039528,            0.008185,            0.008185,            0.008185
                  57,            0.030736,            0.017906,           0.0037675,             0.83687,             0.77362,             0.84453,             0.61603,             0.02856,           0.0092573,           0.0034363,            0.008152,            0.008152,            0.008152
                  58,            0.030793,            0.018389,           0.0037752,             0.83758,             0.76193,             0.83871,             0.60612,            0.028569,           0.0094251,           0.0041283,            0.008119,            0.008119,            0.008119
                  59,             0.03171,            0.021216,           0.0041748,             0.84904,             0.76778,             0.85141,              0.6153,            0.028192,           0.0090648,           0.0030588,            0.008086,            0.008086,            0.008086
                  60,            0.031067,            0.018397,            0.003762,             0.80605,             0.76199,             0.83708,             0.59965,            0.028324,           0.0095464,           0.0037257,            0.008053,            0.008053,            0.008053
                  61,            0.030996,            0.017654,           0.0040115,             0.85163,             0.76184,             0.84487,             0.61475,            0.028474,           0.0093392,           0.0036281,             0.00802,             0.00802,             0.00802
                  62,            0.031357,            0.018659,           0.0043928,             0.83265,             0.76001,             0.84226,             0.61153,            0.027881,           0.0092905,           0.0039363,            0.007987,            0.007987,            0.007987
                  63,            0.030724,            0.018048,           0.0039232,             0.85406,             0.76249,             0.84799,             0.61345,             0.02767,           0.0090537,            0.002971,            0.007954,            0.007954,            0.007954
                  64,            0.030448,            0.018524,           0.0040348,             0.83723,             0.75768,             0.84992,             0.62247,            0.027753,           0.0091714,           0.0034844,            0.007921,            0.007921,            0.007921
                  65,            0.030333,            0.017958,           0.0036639,             0.85438,             0.76314,              0.8479,              0.6258,             0.02764,           0.0090479,           0.0029869,            0.007888,            0.007888,            0.007888
                  66,            0.030493,            0.017385,           0.0039269,             0.82709,             0.79222,             0.85505,              0.6281,            0.028168,           0.0091775,           0.0033394,            0.007855,            0.007855,            0.007855
                  67,            0.030616,            0.018808,           0.0039255,             0.81879,             0.77523,             0.84968,             0.62382,            0.027796,            0.009163,           0.0032516,            0.007822,            0.007822,            0.007822
                  68,            0.030112,            0.017543,           0.0037781,             0.81097,             0.78278,             0.85154,             0.62132,            0.027858,           0.0090115,           0.0038139,            0.007789,            0.007789,            0.007789
                  69,            0.030479,             0.01886,           0.0037568,             0.80882,             0.79659,              0.8551,             0.62509,            0.027566,           0.0091585,           0.0026699,            0.007756,            0.007756,            0.007756
                  70,            0.030832,            0.019799,           0.0040065,             0.81395,             0.80562,             0.85557,             0.61969,             0.02743,           0.0090856,           0.0032469,            0.007723,            0.007723,            0.007723
